ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
6988971085477,2627,7495,1,0,1,2,0,0,-6988963931238,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,716367100094,56910640409
6988971097490,2627,13,1,0,1,2,0,0,-6988971471507,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,716367100094,56910640409
6988995348298,0,13,1,0,1,2,0,0,-6988987748441,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,716367962192,56910679464
6989019370026,0,3587,10,8,1,2,0,0,-6989003515402,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1268971437404,98400310096
6989383337554,9030,13,0,5,1,2,0,0,-6989375767585,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1270617441397,101400984418
6989950126506,6604,10106,8,12,1,2,0,0,-6989936078819,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1207690146506,90317013239
6989950147110,6604,2586,8,12,1,2,0,0,-6989950285390,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1207690146506,90317013239
6989951131244,0,1898,2,3,1,2,0,0,-6989951426557,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1239877660287,97185529387
6989951151498,0,4379,2,3,1,2,0,0,-6989351713150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239877660287,97185529387
6989951208279,0,1898,2,6,1,2,0,0,-6989951426557,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951217289,0,4379,2,6,1,2,0,0,-6989351713150,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1239877660287,97185529387
6989951254095,0,1898,2,10,1,2,0,0,-6989951426557,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951267854,0,4379,2,10,1,2,0,0,-6989351713150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1239877660287,97185529387
6989951095974,0,1898,2,8,1,2,0,0,-6989951426557,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951118743,0,4379,2,8,1,2,0,0,-6989351713150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1239877660287,97185529387
6989951163511,0,1898,2,12,1,2,0,0,-6989951426557,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951200667,0,4379,2,12,1,2,0,0,-6989351713150,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1239877660287,97185529387
6989951331759,4339,1898,2,0,1,2,0,0,-6989951426557,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1239877660287,97185529387
6989951343213,4339,4379,2,0,1,2,0,0,-6989351713150,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1239877660287,97185529387
6989951227416,13,1898,2,5,1,2,0,0,-6989951426557,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951243968,13,4379,2,5,1,2,0,0,-6989351713150,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1239877660287,97185529387
6989951299841,9030,1898,2,5,1,2,0,0,-6989951426557,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239877660287,97185529387
6989951308362,9030,4379,2,5,1,2,0,0,-6989351713150,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1239877660287,97185529387
6990023525453,4164,7845,4,7,1,2,0,0,-6989937191077,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1293661309256,97842206976
6990023546475,4164,329,4,7,1,2,0,0,-6990023894152,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1293661309256,97842206976
6990084206497,2656,2655,2,3,1,2,0,0,-6990084513966,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1239880876416,97185656700
6990084148529,2658,2655,2,10,2,3,0,0,-6990084513966,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1239880876416,97185656700
6990084180027,2658,4379,2,10,2,3,0,0,-6990019246335,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1239880876416,97185656700
6990084189595,2658,351,2,10,2,3,0,0,-6990084513966,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1239880876416,97185656700
6990084365735,7154,2655,3,11,1,2,0,0,-6990084646049,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,866956983680,74888356089
6990084386757,7154,2656,3,11,1,2,0,0,-6990084740906,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,866956983680,74888356089
6990243307229,0,13,5,4,1,2,0,0,-6990235604007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,815439451152,70841657620
6990551112246,0,10106,8,2,1,2,0,0,-6990535822192,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1207715333129,90318164844
6990551139833,0,2586,8,2,1,2,0,0,-6990551427812,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1207715333129,90318164844
6990551177967,0,10106,8,4,1,2,0,0,-6990535822192,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1207715333129,90318164844
6990551185719,0,2586,8,4,1,2,0,0,-6990551427812,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1207715333129,90318164844
6990551198640,0,10106,8,6,1,2,0,0,-6990535822192,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1207715333129,90318164844
6990551206602,0,2586,8,6,1,2,0,0,-6990551427812,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1207715333129,90318164844
