ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
313922425657,0,606,12,13,1,2,0,0,-313922839719,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,60544171953,8617658402
313922973978,4344,186,1,2,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313923001984,4344,4621,1,2,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313923040606,580,186,1,2,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313923049057,580,4621,1,2,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313923572096,2495,186,1,6,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313923593398,2495,4621,1,6,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313923998685,2495,186,1,6,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313924020964,2495,4621,1,6,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313923812698,3213,186,1,10,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313923841822,3213,4621,1,10,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313923874717,194,186,1,10,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47588727579,7248396535
313923881352,194,4621,1,10,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313922733306,606,186,1,13,1,2,0,0,-313222257464,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,47588727579,7248396535
313922751954,606,4621,1,13,1,2,0,0,-313923041331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47588727579,7248396535
313946821523,190,13,14,6,1,2,0,0,-313939151635,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,64235783204,9230430895
313958751127,0,13,6,7,1,2,0,0,-313947326509,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,66671442879,10178290889
313966797155,0,13,7,12,1,2,0,0,-313959244066,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,51624498531,7451652807
313974751970,0,529,14,15,1,2,0,0,-313967223943,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64237184564,9230495724
313974757138,0,98,14,15,1,2,0,0,-313975150719,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64237184564,9230495724
313974723265,190,529,14,6,1,2,0,0,-313967223943,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64237184564,9230495724
313974746732,190,98,14,6,1,2,0,0,-313975150719,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,64237184564,9230495724
313982410520,0,13,12,13,1,2,0,0,-313974808737,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,60547299971,8617699436
314000969009,4076,3827,1,12,1,2,0,0,-313073794821,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,47596042857,7249414574
314002484977,0,13,13,3,1,2,0,0,-313995307345,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,50187110604,7979553182
314010362408,0,13,3,4,1,2,0,0,-314002978952,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,61860281343,10110394960
314010389088,1369,122,12,11,1,2,0,0,-314000914301,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60553416035,8617900306
314010395304,1369,915,12,11,1,2,0,0,-314010802574,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60553416035,8617900306
314010377075,662,122,12,13,1,2,0,0,-314000914301,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60553416035,8617900306
314010384269,662,915,12,13,1,2,0,0,-314010802574,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60553416035,8617900306
314010402427,529,122,12,14,1,2,0,0,-314000914301,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60553416035,8617900306
314010410459,529,915,12,14,1,2,0,0,-314010802574,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60553416035,8617900306
314010407596,187,13,4,3,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,66858742916,9379053988
314010440980,13,122,12,3,1,2,0,0,-314000914301,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60553416035,8617900306
314010444332,13,915,12,3,1,2,0,0,-314010802574,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60553416035,8617900306
314010417722,190,122,12,6,1,2,0,0,-314000914301,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,60553416035,8617900306
314010426802,190,915,12,6,1,2,0,0,-314010802574,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,60553416035,8617900306
