ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
2797904238271,4040,4954,9,5,1,3,0,0,-2797864614992,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2797904805744,1813,5674,9,14,1,2,0,0,-2797905146534,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797904819154,1813,5674,9,14,1,2,0,0,-2797905146534,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797911312724,1308,4156,14,5,1,2,0,0,-2797899477547,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797911335073,1308,13,14,5,1,2,0,0,-2797911672169,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2797917035298,2660,5345,10,8,1,2,0,0,-2797900466615,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2797947079948,0,4156,14,4,1,2,0,0,-2797939483400,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797947099434,0,13,14,4,1,2,0,0,-2797947458057,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2797965450854,1813,5717,9,14,1,2,0,0,-2797965815108,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797965458606,1813,5717,9,14,1,2,0,0,-2797965815108,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2797979106319,1308,5708,4,5,1,2,0,0,-2797979466066,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2798007133698,0,4339,0,10,1,2,0,0,-2797996011071,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798007155698,0,13,0,10,1,2,0,0,-2798007503746,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
2798007171413,7003,4339,0,6,1,2,0,0,-2797996011071,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798007185661,7003,13,0,6,1,2,0,0,-2798007503746,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
2798007212830,4339,3826,1,0,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2798007239580,4339,7235,1,0,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2798007512595,5682,3826,1,3,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798007534666,5682,7235,1,3,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798007252081,7043,3826,1,8,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798007271428,7043,7235,1,8,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798007741959,5674,3826,1,9,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798007758582,5674,7235,1,9,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798007797834,5676,3826,1,12,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798007813828,5676,7235,1,12,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798007886743,4904,3826,1,12,1,2,0,0,-2797899587935,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798007894007,4904,7235,1,12,1,2,0,0,-2798007583186,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798031404999,0,13,0,6,1,2,0,0,-2798023507040,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
2798047081229,0,5682,3,12,1,2,0,0,-2798047453198,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798047101832,0,3839,3,12,1,2,0,0,-2798047453198,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
2798047225524,5757,12,0,9,1,2,0,0,-2798015589235,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798047238305,5757,4339,0,9,1,2,0,0,-2798047592109,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
2798050821733,5672,4904,12,4,1,2,0,0,-2798039470979,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798050833606,5672,4904,12,4,1,2,0,0,-2798039470979,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798051230523,5337,7235,1,0,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2798051252523,5337,3826,1,0,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2798051179468,26,7235,1,2,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051197138,26,3826,1,2,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051140426,13,7235,1,6,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051153207,13,3826,1,6,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051122197,0,7235,1,9,1,2,0,0,-2798051430134,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051135746,0,3826,1,9,1,2,0,0,-2798035740816,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2798051159982,4201,7235,1,10,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051171925,4201,3826,1,10,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051088532,1813,7235,1,14,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051109904,1813,3826,1,14,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051201468,5631,7235,1,14,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051205729,5631,3826,1,14,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051543559,5337,7235,1,0,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2798051556759,5337,3826,1,0,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2798051476719,2685,7235,1,5,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051489570,2685,3826,1,5,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051388717,5632,7235,1,12,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
2798051398006,5632,3826,1,12,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
2798051496694,5345,7235,1,12,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
2798051508218,5345,3826,1,12,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
2798051427620,5631,7235,1,14,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051444731,5631,3826,1,14,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798051745265,5632,7235,1,2,1,2,0,0,-2798051430134,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2798051758116,5632,3826,1,2,1,2,0,0,-2798035740816,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798079762239,5674,5343,14,9,1,2,0,0,-2798069041175,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2798159076977,0,2685,5,6,1,2,0,0,-2798159129750,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2798159095555,0,1308,5,6,1,2,0,0,-2798147533060,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2798159156319,20,7235,1,12,1,3,0,0,-2798080451080,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2798159197386,20,3826,1,14,1,2,0,0,-2798143673546,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2798159205907,20,20,1,14,1,2,0,0,-2798159547730,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
2798159101701,4904,2685,5,12,1,2,0,0,-2798159129750,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2798159109664,4904,1308,5,12,1,2,0,0,-2798159461250,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
