ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
11216399905500,14583,14573,8,7,1,2,0,0,-11216399440784,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4385321720978,993603139367
11216499055419,14561,14571,3,2,49,2,0,0,-11216499430913,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3752134865311,928016639975
11216499069597,14561,14269,3,2,49,2,0,0,-11216499430913,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3752134865311,928016639975
11216531049617,14570,14565,1,0,5,2,0,0,-11216531429604,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3291844841460,808302906270
11216531061420,14570,11221,1,0,5,2,0,0,-11216531429604,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,3291844841460,808302906270
11216623049687,14562,14572,14,4,20,2,0,0,-11216623426169,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,4578025711651,1057622360437
11216623061421,14562,14334,14,4,20,2,0,0,-11216611439806,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4578025711651,1057622360437
11216819049913,14568,14563,9,8,3,2,0,0,-11216819429640,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4057845315283,880332727687
11216819062764,14568,10322,9,8,3,2,0,0,-11216819429640,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,4057845315283,880332727687
11217119060213,14570,14571,3,0,10,2,0,0,-11217119254438,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3754399458468,928718787829
11217119068314,14570,10493,3,0,10,2,0,0,-11217119420591,0,1,0,1,0,0,0,0,3,0,0,0,1,1,0,1,0,0,3754399458468,928718787829
11217119042054,14560,14571,3,6,10,2,0,0,-11217119254438,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3754399458468,928718787829
11217119055044,14560,10493,3,6,10,2,0,0,-11217119420591,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,3754399458468,928718787829
11217131048006,14572,14571,3,14,8,3,0,0,-11217131393191,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3754399458468,928718787829
11217131056666,14572,6647,3,14,8,3,0,0,-11217131430316,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,3754399458468,928718787829
11217131060018,14572,10496,3,14,8,3,0,0,-11217124895378,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,3754399458468,928718787829
11217151043375,14568,14572,14,8,6,2,0,0,-11217151426103,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,4580031494579,1058245812563
11217151053991,14568,14334,14,8,6,2,0,0,-11217142823383,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4580031494579,1058245812563
11217295048028,14567,14572,14,15,16,2,0,0,-11217295423756,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4580480538636,1058337100691
11217295059063,14567,10499,14,15,16,2,0,0,-11217295423756,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4580480538636,1058337100691
11217307042596,14561,14571,3,2,21,2,0,0,-11217307213119,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3755082934612,928857209610
11217307053701,14561,10493,3,2,21,2,0,0,-11217307422794,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3755082934612,928857209610
11217383046161,14562,14572,14,4,22,2,0,0,-11217383424609,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,4580908339605,1058503440513
11217383058174,14562,14334,14,4,22,2,0,0,-11217371434616,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4580908339605,1058503440513
11217383062854,14567,14572,14,15,1,2,0,0,-11217383424609,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4580908339605,1058503440513
11217383069488,14567,14334,14,15,1,2,0,0,-11217371434616,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4580908339605,1058503440513
11217455049885,14561,14571,3,2,9,2,0,0,-11217455435121,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3755779559230,929065758734
11217455062317,14561,14269,3,2,9,2,0,0,-11217455435121,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3755779559230,929065758734
11217531045279,14567,14572,14,15,19,2,0,0,-11217531330621,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4581402952346,1058624341469
11217531054917,14567,10499,14,15,19,2,0,0,-11217531420503,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4581402952346,1058624341469
11217543043478,14561,14571,3,2,23,2,0,0,-11217543428225,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3756005346378,929143285389
11217543054094,14561,10493,3,2,23,2,0,0,-11217543428225,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3756005346378,929143285389
11217635051301,14562,14572,14,4,8,2,0,0,-11217635425149,0,1,0,1,0,0,0,0,2,0,0,1,1,1,0,1,0,0,4581860935344,1058770022636
11217635063733,14562,14334,14,4,8,2,0,0,-11217627433822,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,4581860935344,1058770022636
11217887047012,14562,14567,15,4,4,2,0,0,-11217887432568,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,3205941193442,815822746304
11217887059095,14562,8803,15,4,4,2,0,0,-11217887432568,0,1,0,1,0,0,0,0,1,0,0,2,1,1,0,1,0,0,3205941193442,815822746304
11217919045889,14567,14572,14,15,20,2,0,0,-11217919333703,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4582829214428,1059044897343
11217919051546,14567,10499,14,15,20,2,0,0,-11217919421672,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4582829214428,1059044897343
11218027054477,14566,14562,4,5,17,3,0,0,-11218027430798,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4505318119411,1004340151013
11218027069423,14566,7845,4,5,17,3,0,0,-11218019432284,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4505318119411,1004340151013
11218027073125,14566,6514,4,5,17,3,0,0,-11218027430798,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4505318119411,1004340151013
11218055050718,14572,14567,15,14,33,2,0,0,-11218055427699,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3206394623384,815904046042
11218055062312,14572,6690,15,14,33,2,0,0,-11218055427699,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3206394623384,815904046042
11218067051781,14573,14560,6,7,57,3,0,0,-11218067428703,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4366555573714,977782229037
11218067064283,14573,7636,6,7,57,3,0,0,-11218063434689,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4366555573714,977782229037
11218067068543,14573,6514,6,7,57,3,0,0,-11218067428703,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4366555573714,977782229037
11218071050157,14565,14570,0,1,62,2,0,0,-11218071429145,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4396949931893,975888448175
11218071061261,14565,3587,0,1,1,1,0,0,-11218071429145,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,4396949931893,975888448175
11218071115808,3587,14565,1,0,1,2,0,0,-11218071456355,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3297753016358,810066807554
