ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
7600263129022,0,13,7,10,1,2,0,0,-7600251490649,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0
7600269277126,2728,10499,2,3,1,2,0,0,-7600264881478,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600269408638,2729,10499,3,14,1,2,0,0,-7600269780534,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600269428334,2729,10096,3,14,1,2,0,0,-7600269780534,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600271081140,0,13,10,11,1,2,0,0,-7600263624497,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600331072532,0,10499,3,2,1,2,0,0,-7600331429124,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7600331093973,0,10096,3,2,1,2,0,0,-7600317953101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7600342068147,10499,6647,1,3,1,2,0,0,-7600338380241,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
7600347110866,0,4537,2,6,1,2,0,0,-7600347471226,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600347138802,0,4379,2,6,1,2,0,0,-7600347471226,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600371097756,10096,114,0,3,1,2,0,0,-7599859455400,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
7600375083838,0,8011,2,3,1,2,0,0,-7590366177308,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600391117911,0,10496,8,2,1,2,0,0,-7600391454034,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600391143683,0,10106,8,2,1,2,0,0,-7600391454034,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600391076495,10499,10496,8,3,1,2,0,0,-7600391454034,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600391098984,10499,10106,8,3,1,2,0,0,-7600391454034,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600459200547,10096,7495,1,3,1,2,0,0,-7600447581083,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600459231556,10096,20,1,3,1,2,0,0,-7600323623123,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600475368856,0,2728,6,7,1,2,0,0,-7600469885852,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600479127602,4379,13,11,2,1,2,0,0,-7600467633387,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
7600491087384,0,13,2,3,1,2,0,0,-7600479575928,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600647131031,0,10499,3,8,1,2,0,0,-7600647172868,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600647175310,0,10096,3,8,1,2,0,0,-7600647464892,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600696213690,6645,10206,12,11,1,2,0,0,-7600371976121,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
7600696227100,6645,4526,12,11,1,2,0,0,-7600696519691,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600707174874,4339,10499,3,0,1,2,0,0,-7600707510544,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600707187375,4339,10096,3,0,1,2,0,0,-7600707510544,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600707128778,0,10499,3,6,1,2,0,0,-7600707427850,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600707155388,0,10096,3,6,1,2,0,0,-7600699480655,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600731078303,0,13,1,0,1,2,0,0,-7600723452051,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
7600734086530,10723,10726,11,10,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600743059666,0,10719,6,12,1,2,0,0,-7600743437998,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7600743099895,0,7636,6,12,1,2,0,0,-7600743437998,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
7600743112047,0,10719,6,15,1,2,0,0,-7600743437998,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600743139146,0,7636,6,15,1,2,0,0,-7600743437998,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600747064325,0,10718,11,10,1,2,0,0,-7600747437131,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
7600755062749,0,10719,6,5,1,2,0,0,-7600755435670,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600755072318,0,7636,6,5,1,2,0,0,-7600743535981,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600755077137,0,10719,6,5,1,2,0,0,-7600755435670,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600755088451,0,7636,6,5,1,2,0,0,-7600743535981,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600755100953,7154,10719,6,11,1,2,0,0,-7600755467608,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600755120369,7154,7636,6,11,1,2,0,0,-7600755467608,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600755062749,0,10495,13,12,1,2,0,0,-7600755443113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600755062749,0,10497,0,14,2,2,0,0,-7600755442943,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
7600755069524,0,4339,0,14,2,2,0,0,-7600755442943,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0
7600763059916,0,10497,0,2,1,2,0,0,-7600763441507,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600763087573,0,4339,0,2,1,2,0,0,-7600763441507,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600771055406,0,10493,7,14,1,2,0,0,-7600771439469,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0
7600775107977,9030,7845,4,5,1,2,0,0,-7600764882362,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7600775156937,9030,13,4,5,1,2,0,0,-7600775456413,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7600775081158,0,10719,6,7,1,2,0,0,-7600775428736,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7600775156937,0,7636,6,7,1,2,0,0,-7600763455700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7600779071919,0,10495,12,2,1,3,0,0,-7600779447560,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7600779093291,0,86,12,2,1,3,0,0,-7600299508348,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
7600779097621,0,10206,12,2,1,3,0,0,-7600779447560,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
7600779312245,4164,86,12,7,1,2,0,0,-7600779491662,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600779316575,4164,10495,12,7,1,2,0,0,-7600779447560,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600779062770,0,10672,9,8,1,2,0,0,-7600779438924,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600779110053,10205,10495,12,10,1,2,0,0,-7600779447560,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600779127653,10205,86,12,10,1,2,0,0,-7600779491662,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600779130586,10205,10495,12,10,1,2,0,0,-7600779447560,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600779062770,0,10718,10,11,1,2,0,0,-7600779438753,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7600847113208,10096,10493,14,3,1,2,0,0,-7600847468623,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600847135348,10096,7844,14,3,1,2,0,0,-7600847468623,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600875155673,0,4537,5,2,1,2,0,0,-7600875427402,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600875179070,0,9030,5,2,1,2,0,0,-7600851456777,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600881407842,2729,3587,2,4,1,2,0,0,-7600864702304,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
7600883078598,114,10493,14,3,1,2,0,0,-7600883455445,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600883096198,114,7844,14,3,1,2,0,0,-7600883455445,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600883106674,10499,10493,14,8,1,2,0,0,-7600883455445,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600883143900,10499,7844,14,8,1,2,0,0,-7600883455445,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600887147721,10096,4537,5,3,1,2,0,0,-7600887431380,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600887174890,10096,9030,5,3,1,2,0,0,-7600875590967,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600887106724,0,4537,5,4,1,2,0,0,-7600887431380,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7600887135359,0,9030,5,4,1,2,0,0,-7600875590967,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7600887074318,0,4537,5,8,1,2,0,0,-7600887431380,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600887094292,0,9030,5,8,1,2,0,0,-7600875590967,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600887195982,0,4537,5,6,1,2,0,0,-7600887431380,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
7600887225036,0,9030,5,6,1,2,0,0,-7600875590967,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600919107753,0,10493,0,6,1,2,0,0,-7600919464364,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7600919142534,0,4339,0,6,1,2,0,0,-7600919464364,1,0,0,1,0,0,0,0,2,0,0,1,1,1,1,1,1,0,0,0
7600919177316,7154,10493,0,11,1,2,0,0,-7600919464364,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600919188839,7154,4339,0,11,1,2,0,0,-7600919464364,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600919153499,7844,10493,0,14,1,2,0,0,-7600919464364,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7600919167468,7844,4339,0,14,1,2,0,0,-7600919464364,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7600943143742,0,2100,11,6,1,2,0,0,-7596945978171,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
7601019138268,0,1083,5,4,1,2,0,0,-7600019092174,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7601023133848,0,13,12,14,1,2,0,0,-7601015526448,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
7601166310469,4537,6647,3,5,1,2,0,0,-7601162585801,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
