ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
1443073749721,312,6293,5,10,1,0,0,0,-108856967266819,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1896999936,0,4295253043,1
1443073761803,312,46,5,10,1,0,0,0,-108856975280245,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1896999936,0,4295253043,1
1443073706349,190,6293,5,11,1,0,0,0,-108856967266819,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1461998080,0,4295253043,1
1443073738336,190,46,5,11,1,0,0,0,-108856975280245,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1461998080,0,4295253043,1
1443073770743,179,6293,5,2,1,0,0,0,-108856967266819,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1546249984,0,4295253043,1
1443073789461,179,46,5,2,1,0,0,0,-108856975280245,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1546249984,0,4295253043,1
1443077407409,2794,6084,12,2,1,0,0,0,-107413901187840,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,325356544,1,4295253043,1
1443089700278,211,6304,15,9,1,0,0,0,-108856991174131,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,948972032,0,4295253045,1
1443089712570,211,6544,15,9,1,0,0,0,-108856991174131,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,948972032,0,4295253045,1
1443095603173,2615,176,1,10,1,0,0,0,-108856986693172,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3406815744,0,4295253048,1
1443095611345,2615,215,1,10,1,0,0,0,-108856997496927,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3406815744,0,4295253048,1
1443112399236,1916,186,4,13,1,0,0,0,-108857003257841,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,3354457088,0,4295253052,1
1443112413553,1916,1917,4,13,1,0,0,0,-108857013946912,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3354457088,0,4295253052,1
1443112429338,1820,186,4,8,1,0,0,0,-108857003257841,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2474294784,0,4295253052,1
1443112446449,1820,1917,4,8,1,0,0,0,-108857013946912,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2474294784,0,4295253052,1
1443116627044,5776,176,1,14,1,0,0,0,-108857005598111,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,555139584,0,4295253051,1
1443116640523,5776,215,1,14,1,0,0,0,-108857018517296,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,555139584,0,4295253051,1
1443125682182,0,179,2,3,1,0,0,0,-108857018553839,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2138593536,0,4295253056,1
1443125699433,0,1820,2,3,1,0,0,0,-108857027586922,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2138593536,0,4295253056,1
1443125684557,211,402,12,9,1,0,0,0,-108857015228169,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,948972032,0,4295253056,1
1443125693706,211,402,12,9,1,0,0,0,-108857015228169,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,948972032,0,4295253056,1
1443125709910,193,179,2,14,1,0,0,0,-108857018553839,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2327467264,0,4295253056,1
1443125720316,193,1820,2,14,1,0,0,0,-108857027586922,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2327467264,0,4295253056,1
1443145978231,6081,402,12,11,1,0,0,0,-108857039349112,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2400425472,0,4295253061,1
1443145990244,6081,402,12,11,1,0,0,0,-108857039349112,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2400425472,0,4295253061,1
1443167650024,1820,5784,11,2,1,0,0,0,-108857067638914,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2474294784,1,4295253066,1
